,item_id,name,category,price,old_price,sellable_online,link,other_colors,designer,depth,height,width
1196,90211531,BÖRJE,Chairs,175.0,No old price,True,https://www.ikea.com/sa/en/p/boerje-chair-white-kungsvik-sand-90211531/,No,IKEA of Sweden,55.0,100.0,44.0
1152,20336836,FLINTAN,Chairs,245.0,No old price,True,https://www.ikea.com/sa/en/p/flintan-office-chair-vissle-grey-20336836/,Yes,Henrik Preutz,69.0,,74.0
941,69020473,BILLY / OXBERG,Cabinets & cupboards,2295.0,No old price,True,https://www.ikea.com/sa/en/p/billy-oxberg-bookcase-black-brown-s69020473/,Yes,IKEA of Sweden/Gillis Lundgren,30.0,237.0,200.0
545,29280731,BILLY / OXBERG,Bookcases & shelving units,1330.0,No old price,True,https://www.ikea.com/sa/en/p/billy-oxberg-bookcase-with-panel-glass-doors-brown-ash-veneer-s29280731/,Yes,Gillis Lundgren/K Hagberg/M Hagberg,30.0,202.0,160.0
1046,30338420,BAGGANÄS,Cabinets & cupboards,22.0,No old price,True,https://www.ikea.com/sa/en/p/bagganaes-knob-stainless-steel-30338420/,Yes,H Preutz/A Fredriksson,24.0,,13.0
513,29287445,BILLY / OXBERG,Bookcases & shelving units,500.0,No old price,True,https://www.ikea.com/sa/en/p/billy-oxberg-bookcase-with-glass-door-white-glass-s29287445/,Yes,IKEA of Sweden,30.0,237.0,40.0
1170,10441786,ÖRFJÄLL,Chairs,195.0,No old price,True,https://www.ikea.com/sa/en/p/oerfjaell-childrens-desk-chair-white-vissle-dark-grey-10441786/,No,S Holmbäck/U Nordentoft,53.0,,53.0
290,50282182,LACK,Bookcases & shelving units,99.0,No old price,True,https://www.ikea.com/sa/en/p/lack-wall-shelf-white-50282182/,Yes,IKEA of Sweden,26.0,,
634,414255,VASSVIKEN,Bookcases & shelving units,150.0,No old price,True,https://www.ikea.com/sa/en/p/vassviken-door-white-00414255/,No,IKEA of Sweden,,,
974,29248656,LIXHULT,Cabinets & cupboards,198.0,No old price,True,https://www.ikea.com/sa/en/p/lixhult-storage-combination-dark-green-orange-s29248656/,Yes,Jon Karlsson,35.0,70.0,35.0
936,79301788,BESTÅ,Cabinets & cupboards,1820.0,No old price,True,https://www.ikea.com/sa/en/p/besta-storage-combination-w-doors-drawers-black-brown-hanviken-stubbarp-black-brown-clear-glass-s79301788/,Yes,Marcus Arvonen/IKEA of Sweden,42.0,240.0,120.0
769,70236151,ORRNÄS,Bookcases & shelving units,29.0,No old price,True,https://www.ikea.com/sa/en/p/orrnaes-handle-stainless-steel-colour-stainless-steel-70236151/,Yes,IKEA of Sweden,35.0,,16.0
1006,30357003,KALLRÖR,Cabinets & cupboards,45.0,No old price,True,https://www.ikea.com/sa/en/p/kallroer-handle-stainless-steel-30357003/,No,IKEA of Sweden,38.0,,
